CreditAmount,CreditDuration,Age,Purpose buy is a car,Other credits existing,Savings inferior to 100,InstallmentRate,Home is rented,Purpose of buy is radio/television,The home is a possession
-0.03560816456534667,0.05097512223095691,0.10053477295456105,0.009821007591090164,0.16455226482605212,-0.017406428376561964,0.01684352838245104,-0.0009080745218670927,-0.009296911386481952,0.004095135765965097
-0.3118120839723997,-0.09160797079472104,-0.02800117406026402,0.037367425114061915,-0.006756516309687868,0.014656090005300939,-0.028060630365362157,0.01644678071636008,0.01952398945756613,0.015010652118508005
0.08540056102949166,0.03058081410796149,-0.043138969627452756,0.00818403189870878,0.07856412098173678,0.01182601344116847,-0.002212341220874805,0.0010869077657116577,-0.00354499669134384,0.0065119421148847325
0.010497115952784953,-0.3015366728633671,-0.026475700442388186,0.010397483360138722,-0.08112812032573856,-0.0818851247717248,-0.03764820436001173,-0.0014362397967488505,-0.03683318920215242,0.013048273183521815
-0.13860570421777083,-0.027853431954572443,0.03823125044014887,0.01420250492687046,-0.021936085915367585,0.05850724279502174,0.03163112428374006,0.006759224858542439,-0.006975291687413118,0.013445876968326047
0.263927144645113,0.001078732680034591,0.060783416055855924,-0.12781648860313,0.032353270987805445,-0.0009803724048833829,0.019719986426862304,0.021420253967553437,0.0024251994406222365,0.023756563421047757
0.1823932570130455,-0.018597279844398143,-0.06845508414233337,0.07854154011976788,0.07822495093852921,0.07369921776975388,0.005418619297379337,-0.01648166467086412,0.0013524071080610156,-0.017277862621704117
0.06673869889136767,-0.4404944445739602,0.048799620401405265,0.018320947788051854,0.07865609691521967,-0.023298860689683353,-0.00895289611798944,0.00656795849557966,-0.006118239596980856,-0.09643571676773717
0.10936053999797878,0.13390215486084345,0.08363409112585941,-0.07245693088254485,0.08451009788637748,-0.0016742197617713827,-0.000884656326379627,0.012148596733459272,-0.008303070037218276,0.008958970848616445
-0.15988918466217,0.073076667396017,0.00847502298271138,0.03949923610314727,-0.06276823650172446,0.02864340798711055,-0.028239015012804885,0.01711695508507546,0.04597720739654505,0.013779872888117098
0.09906775820370967,-0.0075362796273111595,0.01821337292341923,0.022638470563906596,-0.01306679706540308,-0.015845850649347994,0.024483512589758904,0.011748198512032104,-0.00930434551963117,0.029946807923406597
0.049964995300433655,-0.0025509772668374352,0.0120491968780334,0.023306695237915846,-0.029930724173609632,0.026269559139982447,0.013964294287779922,0.005402696896635461,0.026800657241255976,0.01717542190323002
0.009525464941216342,-0.315944298979025,-0.14252426306527924,0.0471104629340698,0.08288891174648598,-0.0321196036261972,-0.0205162749907322,-0.05392662006459432,-0.009092380787187722,-0.012539045758312568
-0.09950037476752187,-0.14272647038509603,-0.14518546904502727,0.028778696326044156,0.021869682767883206,-0.06674247565650149,0.10419507675265777,0.014982826766863582,-0.023252264855836983,0.027509894696413538
0.07132450563109159,-0.048781147389672694,0.011371325875006732,0.014491763232435916,-0.06672738879511599,0.006668579508841504,0.04743611962760042,0.01576667729390465,-0.01342972433048999,0.03528458279557526
-0.13176485317520928,0.02374574640634819,-0.15254660670332668,-0.2718300207233551,-0.019153381365467795,-0.021940817352442535,-0.006311590426557814,0.01054720283660572,0.006774955463188234,0.0019694417146092747
0.02022515159944305,-0.1976422281780833,-0.08004057899219333,0.04562366307451157,0.009786807744530961,0.14189046103667352,0.009999149451032282,0.010892446046636906,-0.009936179928681668,0.024631240510498174
-0.21712807169726148,-0.1533788578415988,0.08908251331573411,0.0059193123485601976,-0.00522957457753364,-0.05315127672074595,0.09514112955464953,0.01771116529183928,0.007004967957909685,0.013108473171887453
-0.02038907438878596,0.058471325496916506,0.08495719971411746,0.024945272728800774,0.05318829428417302,0.059600077829600195,0.014695341108526917,-0.07428835334547329,0.04425425503082806,-0.02791858996133669
0.07868870089969278,0.013513801331528156,-0.06951398588680605,0.026419854930136353,-0.010953537736950238,-0.022050949814583873,-0.004558115636318689,0.012067255841684528,-0.01792617031620466,-0.023112500151473796
0.053620773831644326,-0.1375032642015867,0.12165152133267838,0.014081120091504999,0.11164482398016844,-0.01089183906216931,0.04086463356702552,0.0043103465763852,-0.001008648098213598,0.008674334689567331
-0.04131027865674696,-0.38432115116302157,0.03461152126859815,0.024604859531100375,-0.05195534386250074,-0.06209943084977567,-0.05672031975704158,0.015404506651393604,0.03096866386695183,0.012207783602061682
0.00532211509798799,-0.12224038239721267,0.05008129086912049,0.0075726140262122495,-0.022009354367328343,0.11474164123239461,0.03127649741454661,0.0032515263083041646,-0.002011805885413196,0.051037350106344095
0.05358444288809551,0.015265740721442853,0.05132668956819544,0.038750843011803225,-0.04106679371296195,0.044132721815403786,-0.006518945809075376,-0.009797249685507268,-0.004893352227809373,-0.057737297800777014
